age,hours,platform,ch,own,chid
33,2.0,GameBoy,6.0,0,1
33,2.0,GameCube,5.0,0,1
33,2.0,PC,4.0,1,1
33,2.0,PlayStation,1.0,1,1
33,2.0,PSPortable,3.0,0,1
33,2.0,Xbox,2.0,0,1
19,3.25,GameBoy,6.0,0,2
19,3.25,GameCube,5.0,0,2
19,3.25,PC,1.0,1,2
19,3.25,PlayStation,2.0,1,2
19,3.25,PSPortable,3.0,0,2
19,3.25,Xbox,4.0,0,2
18,4.0,GameBoy,6.0,0,3
18,4.0,GameCube,4.0,0,3
18,4.0,PC,5.0,1,3
18,4.0,PlayStation,1.0,1,3
18,4.0,PSPortable,2.0,0,3
18,4.0,Xbox,3.0,0,3
18,6.0,GameBoy,4.0,1,4
18,6.0,GameCube,1.0,1,4
18,6.0,PC,2.0,1,4
18,6.0,PlayStation,5.0,0,4
18,6.0,PSPortable,6.0,0,4
18,6.0,Xbox,3.0,1,4
18,2.0,GameBoy,6.0,0,5
18,2.0,GameCube,4.0,0,5
18,2.0,PC,5.0,1,5
18,2.0,PlayStation,2.0,0,5
18,2.0,PSPortable,3.0,0,5
18,2.0,Xbox,1.0,0,5
20,15.0,GameBoy,6.0,0,6
20,15.0,GameCube,4.0,0,6
20,15.0,PC,1.0,1,6
20,15.0,PlayStation,2.0,1,6
20,15.0,PSPortable,5.0,0,6
20,15.0,Xbox,3.0,0,6
18,7.0,GameBoy,5.0,1,7
18,7.0,GameCube,6.0,0,7
18,7.0,PC,1.0,1,7
18,7.0,PlayStation,2.0,1,7
18,7.0,PSPortable,4.0,0,7
18,7.0,Xbox,3.0,0,7
18,0.0,GameBoy,5.0,0,8
18,0.0,GameCube,1.0,0,8
18,0.0,PC,6.0,0,8
18,0.0,PlayStation,3.0,0,8
18,0.0,PSPortable,4.0,0,8
18,0.0,Xbox,2.0,0,8
18,0.0,GameBoy,6.0,0,9
18,0.0,GameCube,5.0,0,9
18,0.0,PC,4.0,0,9
18,0.0,PlayStation,3.0,0,9
18,0.0,PSPortable,1.0,0,9
18,0.0,Xbox,2.0,0,9
18,8.0,GameBoy,6.0,0,10
18,8.0,GameCube,5.0,0,10
18,8.0,PC,3.0,1,10
18,8.0,PlayStation,1.0,0,10
18,8.0,PSPortable,4.0,0,10
18,8.0,Xbox,2.0,0,10
18,8.0,GameBoy,6.0,0,11
18,8.0,GameCube,5.0,0,11
