id,choiceid,choice,price_A,time_A,change_A,comfort_A,price_B,time_B,change_B,comfort_B
1,1,A,2400.0,150.0,0.0,1.0,4000.0,150.0,0.0,1.0
1,2,A,2400.0,150.0,0.0,1.0,3200.0,130.0,0.0,1.0
1,3,A,2400.0,115.0,0.0,1.0,4000.0,115.0,0.0,0.0
1,4,B,4000.0,130.0,0.0,1.0,3200.0,150.0,0.0,0.0
1,5,B,2400.0,150.0,0.0,1.0,3200.0,150.0,0.0,0.0
1,6,B,4000.0,115.0,0.0,0.0,2400.0,130.0,0.0,0.0
1,7,B,2400.0,150.0,0.0,1.0,3200.0,115.0,0.0,1.0
1,8,B,2400.0,115.0,0.0,1.0,3200.0,150.0,0.0,0.0
1,9,A,4000.0,115.0,0.0,0.0,3200.0,130.0,0.0,1.0
1,10,A,2400.0,150.0,0.0,1.0,4000.0,115.0,0.0,0.0
2,1,A,2975.0,108.0,0.0,0.0,3500.0,121.0,0.0,1.0
2,2,A,2975.0,93.0,0.0,1.0,3500.0,93.0,0.0,0.0
2,3,B,2450.0,121.0,0.0,0.0,2450.0,93.0,0.0,1.0
2,4,B,2975.0,93.0,0.0,1.0,2450.0,108.0,0.0,1.0
2,5,B,2975.0,93.0,0.0,1.0,2450.0,121.0,0.0,0.0
2,6,B,2975.0,108.0,0.0,0.0,2450.0,121.0,0.0,0.0
2,7,A,2975.0,108.0,0.0,0.0,3500.0,93.0,0.0,0.0
2,8,B,2975.0,108.0,0.0,0.0,2450.0,108.0,0.0,1.0
2,9,B,3500.0,108.0,0.0,1.0,2975.0,121.0,0.0,1.0
2,10,A,2975.0,93.0,0.0,1.0,2975.0,108.0,0.0,0.0
2,11,A,2450.0,108.0,0.0,1.0,2450.0,121.0,0.0,0.0
3,1,A,1920.0,106.0,0.0,0.0,2400.0,106.0,0.0,1.0
3,2,B,2400.0,96.0,0.0,0.0,1920.0,106.0,0.0,0.0
3,3,A,1920.0,96.0,0.0,1.0,2400.0,96.0,0.0,0.0
3,4,A,1440.0,121.0,0.0,0.0,1920.0,96.0,0.0,1.0
3,5,A,1920.0,121.0,0.0,1.0,2400.0,106.0,0.0,1.0
3,6,B,1920.0,106.0,0.0,0.0,1440.0,96.0,0.0,1.0
3,7,A,1920.0,106.0,0.0,0.0,1920.0,96.0,0.0,1.0
3,8,B,1920.0,106.0,0.0,0.0,1440.0,121.0,0.0,0.0
3,9,A,1440.0,96.0,0.0,1.0,1440.0,121.0,0.0,0.0
3,10,A,1440.0,106.0,0.0,1.0,1440.0,121.0,0.0,0.0
3,11,A,2400.0,96.0,0.0,0.0,1920.0,121.0,0.0,1.0
4,1,B,545.0,105.0,1.0,1.0,545.0,85.0,1.0,1.0
4,2,A,780.0,105.0,0.0,1.0,780.0,95.0,1.0,1.0
4,3,A,665.0,85.0,0.0,1.0,545.0,105.0,1.0,1.0
4,4,A,780.0,85.0,1.0,0.0,545.0,105.0,1.0,1.0
4,5,B,665.0,85.0,0.0,1.0,545.0,95.0,0.0,0.0
4,6,A,545.0,85.0,1.0,1.0,665.0,105.0,1.0,0.0
4,7,B,780.0,85.0,1.0,0.0,545.0,95.0,0.0,0.0
4,8,B,665.0,95.0,1.0,1.0,780.0,105.0,0.0,1.0
4,9,B,545.0,85.0,1.0,1.0,780.0,85.0,1.0,0.0
4,10,B,780.0,95.0,1.0,1.0,665.0,105.0,1.0,0.0
4,11,B,780.0,105.0,0.0,1.0,545.0,85.0,1.0,1.0
4,12,A,780.0,105.0,0.0,1.0,665.0,105.0,1.0,0.0
4,13,A,545.0,105.0,1.0,1.0,665.0,95.0,1.0,1.0
4,14,A,665.0,105.0,1.0,0.0,545.0,105.0,1.0,1.0
4,15,A,665.0,85.0,0.0,1.0,780.0,85.0,1.0,0.0
5,1,B,2800.0,122.0,1.0,0.0,1400.0,92.0,1.0,0.0
5,2,A,2800.0,92.0,0.0,1.0,2800.0,122.0,1.0,0.0
5,3,A,2800.0,107.0,1.0,1.0,2100.0,122.0,1.0,1.0
5,4,A,2100.0,122.0,1.0,1.0,2800.0,122.0,1.0,0.0
5,5,B,1400.0,122.0,0.0,1.0,1400.0,92.0,1.0,0.0
5,6,B,2800.0,92.0,0.0,1.0,1400.0,92.0,1.0,0.0
5,7,A,2800.0,92.0,0.0,1.0,1400.0,122.0,0.0,1.0
5,8,A,2800.0,107.0,1.0,1.0,1400.0,122.0,0.0,1.0
5,9,B,1400.0,107.0,1.0,1.0,2800.0,92.0,0.0,1.0
5,10,A,2100.0,107.0,0.0,0.0,1400.0,107.0,1.0,1.0
5,11,A,1400.0,92.0,1.0,0.0,2100.0,107.0,0.0,0.0
5,12,A,2100.0,92.0,1.0,1.0,1400.0,107.0,1.0,1.0
5,13,A,2100.0,92.0,1.0,1.0,2800.0,92.0,0.0,1.0
5,14,A,2100.0,92.0,1.0,1.0,2100.0,107.0,0.0,0.0
5,15,A,2800.0,92.0,0.0,1.0,2100.0,107.0,0.0,0.0
6,1,B,4680.0,155.0,1.0,1.0,3120.0,140.0,1.0,1.0
6,2,A,3120.0,125.0,2.0,1.0,4680.0,155.0,1.0,1.0
6,4,A,3900.0,155.0,2.0,1.0,4680.0,155.0,1.0,1.0
6,5,B,3120.0,155.0,1.0,2.0,3900.0,155.0,2.0,1.0
6,6,A,4680.0,125.0,1.0,1.0,3900.0,140.0,1.0,1.0
6,7,B,3120.0,155.0,1.0,2.0,4680.0,140.0,2.0,2.0
6,8,A,3120.0,125.0,2.0,1.0,3120.0,140.0,1.0,1.0
6,9,A,4680.0,125.0,1.0,1.0,3120.0,140.0,1.0,1.0
6,10,B,4680.0,125.0,1.0,1.0,3120.0,125.0,2.0,1.0
7,1,A,2800.0,125.0,0.0,1.0,4000.0,140.0,0.0,1.0
7,2,A,2800.0,160.0,0.0,0.0,3400.0,125.0,0.0,1.0
7,3,B,3400.0,140.0,0.0,0.0,2800.0,160.0,0.0,0.0
7,4,A,2800.0,140.0,0.0,1.0,3400.0,140.0,0.0,0.0
7,5,B,4000.0,125.0,0.0,0.0,3400.0,140.0,0.0,0.0
7,6,A,3400.0,160.0,0.0,1.0,4000.0,125.0,0.0,0.0
7,7,A,2800.0,160.0,0.0,0.0,2800.0,125.0,0.0,1.0
7,8,B,3400.0,125.0,0.0,1.0,3400.0,140.0,0.0,0.0
8,1,A,3375.0,115.0,0.0,0.0,4500.0,115.0,0.0,1.0
8,2,B,4500.0,115.0,0.0,1.0,2250.0,125.0,0.0,1.0
8,3,A,2250.0,125.0,0.0,1.0,4500.0,105.0,0.0,1.0
8,4,A,3375.0,115.0,0.0,0.0,2250.0,115.0,0.0,1.0
8,5,A,4500.0,125.0,0.0,0.0,3375.0,105.0,0.0,1.0
8,6,A,2250.0,125.0,0.0,1.0,4500.0,125.0,0.0,0.0
8,7,A,3375.0,125.0,0.0,1.0,4500.0,115.0,0.0,1.0
8,8,A,3375.0,125.0,0.0,1.0,4500.0,105.0,0.0,1.0
9,1,B,5460.0,215.0,1.0,2.0,4200.0,195.0,1.0,1.0
9,2,B,4200.0,240.0,1.0,2.0,5460.0,240.0,2.0,1.0
9,3,A,5460.0,195.0,1.0,1.0,4830.0,195.0,2.0,2.0
9,4,B,4200.0,215.0,2.0,1.0,5460.0,195.0,1.0,1.0
9,5,B,4830.0,195.0,2.0,2.0,5460.0,215.0,1.0,2.0
9,6,B,4830.0,215.0,1.0,1.0,5460.0,195.0,1.0,1.0
9,7,A,4830.0,215.0,1.0,1.0,4200.0,215.0,2.0,1.0
9,8,A,4200.0,215.0,2.0,1.0,5460.0,215.0,1.0,2.0
9,9,B,5460.0,240.0,2.0,1.0,4830.0,195.0,2.0,2.0
9,10,B,4830.0,240.0,1.0,1.0,4200.0,215.0,2.0,1.0
9,11,A,5460.0,215.0,1.0,2.0,4830.0,240.0,1.0,1.0
9,12,A,4830.0,195.0,2.0,2.0,4830.0,240.0,1.0,1.0
10,1,B,7280.0,112.0,0.0,2.0,6240.0,92.0,0.0,1.0
10,2,B,5200.0,102.0,0.0,1.0,6240.0,92.0,0.0,1.0
10,3,A,5200.0,102.0,0.0,1.0,7280.0,92.0,1.0,1.0
10,4,B,5200.0,92.0,0.0,2.0,7280.0,102.0,0.0,1.0
10,5,A,5200.0,112.0,1.0,1.0,7280.0,112.0,0.0,2.0
10,6,A,5200.0,112.0,1.0,1.0,5200.0,92.0,0.0,2.0
10,7,B,6240.0,112.0,0.0,1.0,5200.0,112.0,1.0,1.0
10,8,A,6240.0,102.0,1.0,2.0,7280.0,112.0,0.0,2.0
10,9,B,6240.0,102.0,1.0,2.0,6240.0,112.0,0.0,1.0
10,10,B,7280.0,102.0,0.0,1.0,7280.0,92.0,1.0,1.0
10,11,A,6240.0,112.0,0.0,1.0,7280.0,102.0,0.0,1.0
10,12,B,7280.0,92.0,1.0,1.0,6240.0,112.0,0.0,1.0
11,1,B,3510.0,157.0,2.0,1.0,3105.0,122.0,1.0,1.0
11,3,A,2700.0,122.0,2.0,1.0,2700.0,137.0,1.0,1.0
11,4,B,3510.0,122.0,1.0,2.0,2700.0,137.0,1.0,1.0
11,6,A,3510.0,137.0,1.0,1.0,2700.0,157.0,1.0,2.0
11,7,A,3105.0,137.0,2.0,2.0,3510.0,157.0,2.0,1.0
11,9,B,2700.0,157.0,1.0,2.0,3510.0,122.0,1.0,2.0
11,10,A,3510.0,122.0,1.0,2.0,3105.0,157.0,1.0,1.0
12,1,A,3000.0,120.0,0.0,1.0,3000.0,140.0,2.0,1.0
12,2,B,1500.0,105.0,2.0,1.0,1500.0,140.0,0.0,0.0
12,3,B,1500.0,120.0,1.0,1.0,1500.0,140.0,0.0,0.0
12,4,B,2250.0,105.0,0.0,1.0,2250.0,120.0,2.0,0.0
12,5,B,1500.0,105.0,2.0,1.0,2250.0,120.0,2.0,0.0
12,6,A,3000.0,105.0,1.0,0.0,2250.0,140.0,1.0,1.0
12,7,A,1500.0,105.0,2.0,1.0,2250.0,105.0,0.0,1.0
12,8,B,3000.0,120.0,0.0,1.0,1500.0,120.0,1.0,1.0
12,9,A,2250.0,140.0,1.0,1.0,3000.0,120.0,0.0,1.0
12,10,A,1500.0,140.0,0.0,0.0,3000.0,105.0,1.0,0.0
12,11,A,1500.0,105.0,2.0,1.0,3000.0,105.0,1.0,0.0
12,12,B,1500.0,105.0,2.0,1.0,1500.0,120.0,1.0,1.0
12,13,A,1500.0,120.0,1.0,1.0,2250.0,120.0,2.0,0.0
12,14,A,2250.0,105.0,0.0,1.0,3000.0,105.0,1.0,0.0
13,1,B,2000.0,135.0,1.0,1.0,2000.0,100.0,1.0,1.0
13,2,B,4000.0,135.0,1.0,0.0,2000.0,135.0,1.0,1.0
